Question_Number,Question_Text,Answer_A,Answer_B,Answer_C,Correct_Answer
1,"(Art. 4 ust. 1) Bronią, w rozumieniu ustawy o broni i amunicji, nie jest:","broń palna;","broń pneumatyczna;","broń ostra.","C"
18,"(Art. 7 ust. 2) Bronią palną sygnałową, w rozumieniu ustawy o broni i amunicji, jest urządzenie wielokrotnego użycia, które w wyniku działania sprężonych gazów, powstających na skutek spalania materiału miotającego, jest zdolne do wystrzelenia substancji w postaci ładunku pirotechnicznego celem wywołania efektu wizualnego lub akustycznego z lufy o kalibrze:","nie mniejszym niż 25 mm;","nie mniejszym niż 12 mm;","nie mniejszym niż 6 mm.","A"
19,"(Art. 7 ust. 3) Bronią palną alarmową, w rozumieniu ustawy o broni i amunicji, jest:","urządzenie wielokrotnego użycia, które w wyniku działania sprężonych gazów, powstających na skutek spalania materiału miotającego, wywołuje efekt wizualny, a wystrzelona z lufy lub elementu ją zastępującego substancja razi cel na odległość nie większą niż 2 metry;","urządzenie wielokrotnego użycia, które w wyniku działania sprężonych gazów, powstających na skutek spalania materiału miotającego, wywołuje efekt wizualny i akustyczny, a wystrzelona z lufy lub elementu ją zastępującego substancja razi cel na odległość nie większą niż 3 metry;","urządzenie wielokrotnego użycia, które w wyniku działania sprężonych gazów, powstających na skutek spalania materiału miotającego, wywołuje efekt akustyczny, a wystrzelona z lufy lub elementu ją zastępującego substancja razi cel na odległość nie większą niż 1 metr.","C"
20,"(Art. 8) Bronią pneumatyczną, w rozumieniu ustawy o broni i amunicji, jest:","urządzenie zdolne do rażenia celów na odległość, pociskiem wystrzeliwanym z lufy lub elementu ją zastępującego z energią kinetyczną przekraczającą 17 J;","urządzenie zdolne do rażenia celów na odległość, pociskiem wystrzeliwanym z lufy lub elementu ją zastępującego z energią kinetyczną przekraczającą 15 J;","urządzenie zdolne do rażenia celów na odległość, pociskiem wystrzeliwanym z lufy lub elementu ją zastępującego z energią kinetyczną przekraczającą 13 J.","A"
21,"(Art. 9 ust. 1) Pozwolenie na broń palną wydaje:","komendant wojewódzki Policji właściwy ze względu na miejsce czasowego pobytu zainteresowanej osoby;","komendant wojewódzki Policji właściwy ze względu na miejsce stałego pobytu zainteresowanej osoby;","komendant wojewódzki policji właściwy ze względu na miejsce zameldowania zainteresowanej osoby.","B"
22,"(Art. 9 ust. 8) Pozwolenie na broń zwane świadectwem broni wydaje:","komendant wojewódzki Policji właściwy ze względu na siedzibę zainteresowanego podmiotu;","komendant powiatowy Policji właściwy ze względu na siedzibę zainteresowanego podmiotu;","komendant wojewódzki Policji lub komendant oddziału Żandarmerii Wojskowej, właściwy ze względu na siedzibę zainteresowanego podmiotu.","A"
23,"(Art. 9 ust. 2) Kartę rejestracyjną broni pozbawionej cech użytkowych wydaje:","komendant wojewódzki Policji właściwy ze względu na miejsce czasowego pobytu zainteresowanej osoby;","komendant wojewódzki policji właściwy ze względu na miejsce zameldowania zainteresowanej osoby;","komendant wojewódzki Policji właściwy ze względu na miejsce stałego pobytu zainteresowanej osoby.","C"
24,"(Art. 9 ust. 3) Pozwolenie na miotacz gazu obezwładniającego wydaje:","komendant powiatowy Policji właściwy ze względu na miejsce stałego pobytu zainteresowanej osoby;","komendant powiatowy Policji właściwy ze względu na miejsce czasowego pobytu zainteresowanej osoby;","komendant powiatowy Policji właściwy ze względu na miejsce zameldowania zainteresowanej osoby.","A"
25,"(Art. 9 ust. 4) Kartę rejestracyjną broni pneumatycznej wydaje:","komendant powiatowy Policji właściwy ze względu na miejsce czasowego pobytu zainteresowanej osoby;","komendant powiatowy Policji właściwy ze względu na miejsce stałego pobytu zainteresowanej osoby;","komendant powiatowy Policji właściwy ze względu na miejsce zameldowania zainteresowanej osoby.","B"
26,"(Art. 9 ust. 6) Pozwolenie na broń wydawane jest:","na czas nieokreślony;","na 5 lat;","na 3 lata.","A"
27,"(Art. 9 ust. 6 i art. 30 ust. 2) Dopuszczenie do posiadania broni wydawane jest:","na 5 lat;","na czas nieokreślony;","na 3 lata.","B"
28,"(Art. 9 ust. 6) Karta rejestracyjna broni palnej pozbawionej cech użytkowych wydawana jest:","na 3 lata;","na 5 lat;","na czas nieokreślony.","C"
29,"(Art. 9 ust. 6) Karta rejestracyjna broni pneumatycznej wydawana jest:","na czas nieokreślony;","na 3 lata;","na 5 lat.","A"
30,"(Art. 9 ust. 7) Pozwolenie na broń palną bojową wydane w celu ochrony osobistej stanowi jednocześnie pozwolenie na:","broń sportową;","broń gazową i alarmową;","broń alarmową i sygnałową.","B"
31,"(Art. 9 ust. 8) Legitymację osoby dopuszczonej do posiadania broni wydaje:","komendant wojewódzki Policji właściwy ze względu na miejsce stałego pobytu zainteresowanej osoby;","komendant wojewódzki Policji właściwy ze względu na miejsce czasowego pobytu zainteresowanej osoby;","komendant wojewódzki Policji właściwy ze względu na miejsce zameldowania zainteresowanej osoby.","A"
32,"(Art. 9 ust. 8) Świadectwo broni w myśl ustawy o broni i amunicji to:","certyfikat producenta broni, umożliwiający jej bezpieczne użytkowanie;","potwierdzenie, że jednostka broni nie była rejestrowana kryminalistycznie;","pozwolenie na broń na okaziciela.","C"
33,"(Art. 10 ust. 1) Właściwy organ Policji wydaje pozwolenie na broń jeżeli:","wnioskodawca przedstawi ważną przyczynę posiadania broni;","wnioskodawca przedstawi zaświadczenie lekarskie o stanie zdrowia;","wnioskodawca posiada warunki do przechowywania broni.","A"
34,"(Art. 10 ust. 1) Właściwy organ Policji wydaje pozwolenie na broń jeżeli:","wnioskodawca nie stanowi zagrożenia dla samego siebie;","wnioskodawca nie stanowi zagrożenia dla porządku lub bezpieczeństwa publicznego;","odpowiedzi a. i b. są prawidłowe.","C"
35,"(Art. 10. ust. 3) Za ważną przyczynę posiadania broni do celów ochrony osobistej uważa się w szczególności:","stałe, realne i ponadprzeciętne zagrożenie życia, zdrowia lub mienia;","zatrudnienie jako kwalifikowany pracownik ochrony fizycznej;","poczucie zagrożenia w związku z pełnioną służbą.","A"
36,"(Art. 10. ust. 3) Za ważną przyczynę posiadania broni do celów łowieckich uważa się w szczególności:","posiadanie licencji Polskiego Związku Łowieckiego;","posiadanie uprawnień do wykonywania polowania, ustalonych na podstawie odrębnych przepisów;","zaświadczenie o przynależności do koła łowieckiego.","B"
37,"(Art. 10. ust. 3) Za ważną przyczynę posiadania broni do celów sportowych uważa się w szczególności:","udokumentowane uczestnictwo w strzeleckich zawodach sportowych;","posiadanie zezwolenia właściwego polskiego związku strzeleckiego na udział w strzeleckich zawodach sportowych;","udokumentowane członkostwo w stowarzyszeniu o charakterze strzeleckim, posiadanie kwalifikacji sportowych oraz licencji właściwego polskiego związku strzeleckiego.","C"
38,"(Art. 10. ust. 3) Za ważną przyczynę posiadania broni do celów rekonstrukcji historycznych uważa się w szczególności:","udokumentowane członkostwo w stowarzyszeniu, którego statutowym celem jest organizowanie rekonstrukcji historycznych oraz zaświadczenie potwierdzające czynny udział w działalności statutowej;","udokumentowane członkostwo w stowarzyszeniu o charakterze paramilitarnym;","udokumentowany udział w przedsięwzięciach o charakterze historycznym.","A"
39,"(Art. 10. ust. 3) Za ważną przyczynę posiadania broni do celów kolekcjonerskich uważa się w szczególności:","udokumentowane członkostwo w stowarzyszeniu, którego statutowym celem jest organizowanie rekonstrukcji historycznych;","udokumentowane członkostwo w stowarzyszeniu o charakterze kolekcjonerskim;","udokumentowany udział w ogólnokrajowych wystawach kolekcjonerów broni.","B"
40,"(Art. 10. ust. 3) Za ważną przyczynę posiadania broni do celów pamiątkowych uważa się w szczególności:","udokumentowane nabycie broni w drodze spadku, darowizny lub wyróżnienia;","udokumentowany zakup broni historycznej;","odpowiedzi a. i b. są nieprawidłowe.","A"
41,"(Art. 10. ust. 3) Za ważną przyczynę posiadania broni do celów szkoleniowych uważa się w szczególności:","posiadanie licencji strzeleckiej związku strzeleckiego;","zaświadczenie o prowadzeniu strzelnicy;","udokumentowane zarejestrowanie działalności gospodarczej w zakresie szkoleń strzeleckich i posiadanie uprawnień do prowadzenia szkoleń strzeleckich.","C"
42,"(Art. 10 ust. 4) Na podstawie pozwolenia na broń wydanego w celu ochrony osobistej nie można posiadać:","pistoletu bocznego zapłonu z lufą gwintowaną o kalibrze do 6 mm;","rewolweru centralnego zapłonu z lufą gwintowaną o kalibrze od 6 mm do 12 mm;","miotacza gazu obezwładniającego.","A"
43,"(Art. 10 ust. 4) Na podstawie pozwolenia na broń wydanego do celów łowieckich nie można posiadać:","strzelby powtarzalnej o kalibrze wagomiarowym 12;","pistoletu bocznego zapłonu z lufą gwintowaną o kalibrze do 6 mm;","karabinu centralnego zapłonu z lufą gwintowaną o kalibrze do 12 mm.","B"
44,"(Art. 10 ust. 4) Na podstawie pozwolenia na broń wydanego w celu sportowym nie można posiadać:","karabinu centralnego zapłonu z lufą gwintowaną o kalibrze do 12 mm;","rewolweru przystosowanego do strzelania wyłącznie przy pomocy prochu czarnego (dymnego);","pistoletu sygnałowego.","C"
45,"(Art. 10 ust. 4) Na podstawie pozwolenia na broń wydanego w celu szkoleniowym nie można posiadać:","karabinu centralnego zapłonu z lufą gwintowaną o kalibrze do 12 mm;","rewolweru przystosowanego do strzelania wyłącznie przy pomocy prochu czarnego (dymnego);","broni alarmowej albo innej broni palnej, konstrukcyjnie przeznaczonej do strzelania wyłącznie amunicją ślepą, w tym samoczynnej.","C"
46,"(Art. 10 ust. 4) Na podstawie pozwolenia na broń wydanego w celu kolekcjonerskim lub pamiątkowym można posiadać:","pistolet sygnałowy;","broń alarmową albo inną broń palną, konstrukcyjnie przeznaczoną do strzelania wyłącznie amunicją ślepą, w tym samoczynną;","odpowiedzi a. i b. są prawidłowe.","C"
47,"(Art. 10 ust. 5) Bronią szczególnie niebezpieczną, w rozumieniu ustawy o broni i amunicji, nie jest:","broń palna z wymienną lufą;","samoczynna broń palna zdolna do rażenia celów na odległość;","broń palna wytworzona lub przerobiona w sposób pozwalający na zatajenie jej przeznaczenia, a także broń imitująca inne przedmioty.","A"
48,"(Art. 10 ust. 5) Bronią szczególnie niebezpieczną, w rozumieniu ustawy o broni i amunicji, nie jest:","broń palna wyposażona w tłumik huku lub przystosowana do strzelania z użyciem tłumika huku;","strzelba gładkolufowa posiadająca więcej niż jedną lufę;","broń palna, której nie można wykryć przy pomocy urządzeń przeznaczonych do kontroli osób i bagażu.","B"
49,"(Art. 10 ust. 6) Amunicją szczególnie niebezpieczną, w rozumieniu ustawy o broni i amunicji jest:","amunicja z pociskami pełnopłaszczowymi zawierającymi rdzeń wykonany z materiału twardszego niż stop ołowiu;","amunicja z pociskami wypełnionymi materiałami wybuchowymi, zapalającymi albo innymi substancjami, których działanie zagraża życiu lub zdrowiu oraz pociski do takiej amunicji;","odpowiedź a. i b. są prawidłowe.","C"
50,"(Art. 10 ust. 6) Posiadanie amunicji wytworzonej niefabrycznie, w tym takiej, do której wytworzenia wykorzystywane są fabrycznie nowe elementy amunicji, na własny użytek jest:","zabronione;","dozwolone przez osoby posiadające pozwolenie na broń kolekcjonerską;","dozwolone przez osoby posiadające pozwolenie na broń szkoleniową.","B"
51,"(Art. 10 ust. 7) Właściwy organ Policji może w pozwoleniu na broń ograniczyć lub wykluczyć możliwość noszenia broni:","co potwierdza się w legitymacji posiadacza broni;","tylko w przypadku broni posiadanej na pozwolenie do celów kolekcjonerskich, co potwierdza się w legitymacji posiadacza broni;","możliwości noszenia broni nie można ograniczyć lub wykluczyć.","A"
52,"(Art. 10 ust. 8) Noszenie broni bez zgody właściwego organu Policji jest zabronione w przypadku broni posiadanej na podstawie pozwolenia do celów:","rekonstrukcji historycznych lub kolekcjonerskich;","kolekcjonerskich lub pamiątkowych;","pamiątkowych lub szkoleniowych.","B"
53,"(Art. 10 ust. 9) Noszenie broni, w rozumieniu ustawy o broni i amunicji to:","każdy sposób przemieszczania załadowanej broni przez osobę posiadającą broń;","każdy sposób przemieszczania przeładowanej broni przez osobę posiadającą broń;","każdy sposób przemieszczania broni przez osobę posiadającą broń.","A"
54,"(Art. 10a ust. 1) Europejską kartę broni palnej wydaje:","komendant wojewódzki Policji właściwy ze względu na miejsce zameldowania osoby zainteresowanej;","komendant wojewódzki Policji właściwy ze względu na miejsce czasowego pobytu osoby zainteresowanej;","komendant wojewódzki Policji właściwy ze względu na miejsce stałego pobytu osoby zainteresowanej.","C"
55,"(Art. 10a ust. 1) Właściwy organ Policji wydaje Europejską kartę broni palnej:","na wniosek osoby posiadającej broń palną zgodnie z wymogami prawa polskiego;","na wniosek organizacji sportowej, osobie wskazanej przez ten podmiot oraz posiadającej dopuszczenie do posiadania broni;","odpowiedzi a. i b. są prawidłowe.","C"
56,"(Art. 10a ust. 2) Europejską kartę broni palnej wydaje się na okres:","do 5 lat;","do 3 lat;","do 7 lat.","A"
57,"(Art. 10a ust. 3) Po upływie okresu ważności Europejskiej karty broni palnej:","należy ją zwrócić;","jej ważność może być przedłużona na kolejny okres;","należy ją wymienić.","B"
58,"(Art. 10a ust. 4) Europejska karta broni palnej traci ważność i podlega zwrotowi:","w przypadku cofnięcia pozwolenia na broń palną lub cofnięcia dopuszczenia do posiadania tego rodzaju broni;","w przypadku naruszenia obowiązku zawiadomienia właściwego organu Policji o zmianie miejsca stałego pobytu;","w przypadku naruszenia zakazu użyczania broni osobie nieupoważnionej.","A"
59,"(Art. 10 ust. 7) Wpisów do Europejskiej karty broni palnej dokonuje:","komendant wojewódzki Policji właściwy ze względu na miejsce zameldowania osoby posiadającej Europejską kartę broni palnej;","komendant wojewódzki Policji właściwy ze względu na miejsce czasowego pobytu osoby posiadającej Europejską kartę broni palnej;","komendant wojewódzki Policji właściwy ze względu na miejsce stałego pobytu osoby posiadającej Europejską kartę broni palnej.","C"
60,"(Art. 11) Pozwolenia na broń nie wymaga się w przypadku:","posiadania przedmiotów przeznaczonych do obezwładniania osób za pomocą energii elektrycznej o średniej wartości prądu w obwodzie przekraczającej 10 mA;","gromadzenia broni w zbiorach muzealnych na podstawie odrębnych przepisów;","posiadania broni palnej rozdzielnego ładowania, wytworzonej po roku 1885.","B"
61,"(Art. 11) Pozwolenia na broń wymaga się w przypadku:","używania broni w celach sportowych, szkoleniowych lub rekreacyjnych na strzelnicy działającej na podstawie zezwolenia właściwego organu;","używania broni palnej sygnałowej i alarmowej do celów wzywania pomocy, ratowniczych, poszukiwawczych oraz przez osoby uprawnione do sygnalizacji zawodnikom rozpoczęcia konkurencji sportowej w trakcie zawodów sportowych, jeżeli wymaga ona takiej sygnalizacji;","posiadania broni palnej gazowej.","C"
62,"(Art. 11) Pozwolenia na broń nie wymaga się w przypadku:","posiadania broni palnej pozbawionej cech użytkowych;","posiadania broni alarmowej albo innej broni palnej, konstrukcyjnie przeznaczonej do strzelania wyłącznie amunicją ślepą, w tym samoczynnej;","posiadania broni cięciwowej w postaci kuszy.","A"
63,"(Art. 11) Pozwolenia na broń wymaga się w przypadku:","posiadania ręcznych miotaczy gazu obezwładniającego;","posiadania broni pneumatycznej;","posiadania przedmiotów przeznaczonych do obezwładniania osób za pomocą energii elektrycznej o średniej wartości prądu w obwodzie przekraczającej 10 mA.","C"
64,"(Art. 11) Pozwolenia na broń nie wymaga się w przypadku:","posiadania broni palnej rozdzielnego ładowania, wytworzonej przed rokiem 1885 oraz replik tej broni;","posiadania pistoletów sygnałowych;","posiadania kastetu.","A"
65,"(Art. 12) Pozwolenie na broń jest wydawane:","w drodze postanowienia;","w drodze decyzji administracyjnej;","w drodze zaświadczenia.","B"
66,"(Art. 12) W decyzji administracyjnej, przyznającej pozwolenie na broń, określa się:","wyłącznie cel w jakim zostało wydane;","wyłącznie rodzaj i liczbę egzemplarzy broni;","cel w jakim zostało wydane oraz rodzaj i liczbę egzemplarzy broni.","C"
67,"(Art. 12 ust. 2) Zaświadczenie uprawniające do nabycia broni:","wydawane jest na wniosek osoby posiadającej pozwolenie na broń i uprawnia do nabycia broni i amunicji do tej broni;","wydawane jest z urzędu i uprawnia do nabycia broni i amunicji do tej broni;","wydawane jest na wniosek osoby posiadającej pozwolenie na broń i uprawnia do nabycia wyłącznie broni.","A"
68,"Zaświadczenie uprawniające do nabycia broni:","uprawnia do nabycia dowolnej ilości broni;","uprawnia do nabycia broni w ilości określonej w zaświadczeniu;","uprawnia do nabycia wyłącznie jednej sztuki broni.","B"
69,"Zaświadczenie uprawniające do nabycia broni jest:","ważne 30 dni;","ważne 3 miesiące;","bezterminowe.","C"
70,"(Art. 12a ust. 2) Nabywając broń palną, na której posiadanie wymagane jest pozwolenie, przy użyciu środków porozumiewania się na odległość, przed wydaniem broni nabywca mający miejsce stałego pobytu na terytorium Rzeczypospolitej Polskiej, dostarcza zbywcy mającemu miejsce stałego pobytu na terytorium Rzeczypospolitej Polskiej:","zaświadczenie uprawniające do nabycia broni;","uprzednią zgodę przewozową;","zgodę przewozową.","A"
71,"(Art. 12a ust 2) Nabywając broń palną, na której posiadanie wymagane jest pozwolenie, przy użyciu środków porozumiewania się na odległość, przed wydaniem broni nabywca mający miejsce stałego pobytu na terytorium innego niż Rzeczpospolita Polska państwa członkowskiego Unii Europejskiej, dostarcza zbywcy mającemu miejsce stałego pobytu na terytorium Rzeczypospolitej Polskiej:","zgodę przewozową;","uprzednią zgodę przewozową;","zaświadczenie uprawniające do nabycia broni.","B"
72,"(Art. 13 ust. 1) Nabywca broni obowiązany jest ją zarejestrować:","w ciągu 7 dni od dnia nabycia;","w ciągu 10 dni od dnia nabycia;","w ciągu 5 dni o dnia nabycia.","C"
73,"(Art. 13 ust. 2) Rejestracji broni dokonuje się na podstawie:","dowodu nabycia broni;","instrukcji obsługi broni;","karty gwarancyjnej broni.","A"
74,"(Art. 13 ust. 2) Rejestracji broni palnej pozbawionej cech użytkowych dokonuje się na podstawie:","dowodu nabycia broni oraz dodatkowo po przedstawieniu potwierdzenia pozbawienia broni palnej cech użytkowych;","wyłącznie dowodu nabycia broni;","wyłącznie po przedstawieniu potwierdzenia pozbawienia broni palnej cech użytkowych.","A"
75,"(Art. 13 ust. 3) Rejestracji broni palnej dokonuje:","komendant wojewódzki Policji właściwy ze względu na miejsce czasowego pobytu osoby posiadającej pozwolenie na broń;","komendant wojewódzki Policji właściwy ze względu na miejsce stałego pobytu osoby posiadającej pozwolenie na broń;","komendant wojewódzki Policji właściwy ze względu na miejsce zameldowania osoby posiadającej pozwolenie na broń.","B"
76,"(Art. 13 ust. 3) Rejestracji broni palnej pozbawionej cech użytkowych dokonuje:","komendant wojewódzki Policji właściwy ze względu na miejsce czasowego pobytu osoby posiadającej broń palną pozbawioną cech użytkowych;","komendant wojewódzki Policji właściwy ze względu na miejsce zameldowania osoby posiadającej broń palną pozbawioną cech użytkowych;","komendant wojewódzki Policji właściwy ze względu na miejsce stałego pobytu osoby posiadającej broń palną pozbawioną cech użytkowych.","C"
77,"(Art. 13 ust. 3) Rejestracji broni pneumatycznej dokonuje:","komendant wojewódzki Policji właściwy ze względu na miejsce stałego pobytu osoby posiadającej broń pneumatyczną;","komendant powiatowy Policji właściwy ze względu na miejsce stałego pobytu osoby posiadającej broń pneumatyczną;","komendant komisariatu Policji właściwy ze względu na miejsce stałego pobytu osoby posiadającej broń pneumatyczną.","B"
78,"(Art. 13 ust. 3) Rejestracji broni cięciwowej w postaci kuszy dokonuje:","komendant powiatowy Policji właściwy ze względu na miejsce stałego pobytu osoby posiadającej pozwolenie na broń;","komendant powiatowy Policji właściwy ze względu na miejsce czasowego pobytu osoby posiadającej pozwolenie na broń;","komendant powiatowy Policji właściwy ze względu na miejsce zameldowania osoby posiadającej pozwolenie na broń.","A"
79,"(Art. 13 ust. 4) Zarejestrowanie broni wymagającej pozwolenia na broń potwierdza się w:","karcie rejestracyjnej broni;","legitymacji osoby dopuszczonej do posiadania broni;","legitymacji posiadacza broni.","C"
80,"(Art. 13 ust. 4) Zarejestrowanie broni wymagającej pozwolenia na broń potwierdza się w:","świadectwie broni;","legitymacji osoby dopuszczonej do posiadania broni;","karcie rejestracyjnej broni.","A"
81,"(Art. 13 ust. 5) Zarejestrowanie broni palnej pozbawionej cech użytkowych oraz broni pneumatycznej potwierdza się w:","legitymacji posiadacza broni, która jest wydawana posiadaczowi broni;","karcie rejestracyjnej broni, która jest wydawana posiadaczowi broni;","legitymacji osoby dopuszczonej do posiadania broni, która jest wydawana posiadaczowi broni.","B"
82,"(Art. 13 ust. 6) Zarejestrowanie broni palnej pozbawionej cech użytkowych nie może nastąpić na rzecz osoby, która nie ma ukończonych:","21 lat;","18 lat;","24 lat.","B"
83,"(Art. 13 ust. 7) Broń pneumatyczna nie może być zarejestrowana na rzecz osoby, która nie ma ukończonych:","24 lat;","21 lat;","18 lat.","C"
84,"(Art. 14) Amunicję można nabywać na podstawie:","legitymacji posiadacza broni, wyłącznie dla tej broni, która jest określona w legitymacji;","legitymacji posiadacza broni, dla każdego rodzaju broni;","legitymacji osoby dopuszczonej do posiadania broni.","A"
85,"(Art. 14) Amunicję można nabywać na podstawie:","legitymacji osoby dopuszczonej do posiadania broni;","świadectwa broni i pisemnego zamówienia podmiotu uprawnionego do nabycia amunicji;","karty rejestracyjnej broni.","B"
86,"(Art. 15 ust. 1) Pozwolenia na broń nie wydaje się osobom:","niemającym ukończonych 24 lat;","używającym alkoholu;","o znacznie ograniczonej sprawności psychofizycznej.","C"
87,"(Art. 15 ust. 1) Pozwolenia na broń nie wydaje się osobom:","o obniżonej sprawności fizycznej;","wykazującym istotne zaburzenia funkcjonowania psychologicznego;","niemającym ukończonych 24 lat.","B"
88,"(Art. 15 ust. 1) Pozwolenia na broń nie wydaje się osobom:","uzależnionym od alkoholu lub od substancji psychoaktywnych;","o obniżonej sprawności intelektualnej;","odpowiedzi a. i b. są prawidłowe.","A"
89,"(Art. 15 ust. 1) Pozwolenia na broń nie wydaje się osobom:","nieposiadającym obywatelstwa polskiego i miejsca zameldowania na terytorium Rzeczypospolitej Polskiej;","nieposiadającym miejsca stałego pobytu na terytorium Rzeczypospolitej Polskiej;","niebędącym obywatelami Rzeczypospolitej Polskiej.","B"
90,"(Art. 15 ust. 1) Pozwolenia na broń nie wydaje się osobom:","skazanym prawomocnym orzeczeniem sądu w sprawie o wykroczenie;","skazanym prawomocnym orzeczeniem sądu za nieumyślne przestępstwo przeciwko mieniu;","skazanym prawomocnym orzeczeniem sądu za umyślne przestępstwo lub umyślne przestępstwo skarbowe.","C"
91,"(Art. 15 ust. 2) Na wniosek szkoły, organizacji sportowej, Polskiego Związku Łowieckiego, stowarzyszenia obronnego pozwolenie na broń służącą do celów sportowych lub łowieckich może być wydane osobie mającej ukończone:","18 lat;","17 lat;","16 lat.","A"
92,"(Art. 15 ust. 3) Osoba, która występuje z wnioskiem o wydanie pozwolenia na broń, lub osoba, która zgłasza do rejestru broń pneumatyczną, przedstawiają właściwemu organowi Policji:","wyłącznie orzeczenie lekarskie potwierdzające, że może dysponować bronią;","wyłącznie orzeczenie psychologiczne potwierdzające, że może dysponować bronią;","orzeczenia lekarskie i psychologiczne potwierdzające, że może dysponować bronią.","C"
93,"(Art. 15 ust. 4) Osoba posiadająca pozwolenie na broń wydane w celach ochrony osobistej obowiązana jest przedstawić właściwemu organowi Policji orzeczenia lekarskie i psychologiczne potwierdzające, że może dysponować bronią:","raz na 3 lata;","raz na 5 lat;","nie ma takiego obowiązku.","B"
94,"(Art. 15 ust. 4) Osoba posiadająca pozwolenie na broń wydane w celach kolekcjonerskich, obowiązana jest przedstawić właściwemu organowi Policji orzeczenia lekarskie i psychologiczne potwierdzające, że może dysponować bronią:","nie ma takiego obowiązku;","raz na 3 lata;","raz na 5 lat.","A"
